post_date,url,captions,image_url,status,shortcode,post_type,media_count,media_urls
2026-03-25T00:00:00Z,https://www.instagram.com/modgovae/p/DWTfiWziFMV/,"تعاملت الدفاعات الجوية الإماراتية مع 9 طائرات مسيرة.

تعاملت الدفاعات الجوية الإماراتية (25 مارس 2026) مع 9 طائرات مسيرة قادمة من إيران. 

ومنذ بدء الاعتداءات الإيرانية السافرة تعاملت الدفاعات الجوية الإماراتية مع 357 صاروخاً باليستياً، و 15 صاروخ جوال، و 1815 طائرة مسيرة.

وأدت هذه الاعتداءات إلى استشهاد 3 من منتسبي القوات المسلحة خلال تأديتهما واجبهما الوطني، ومقتل 6 مدنيين من الجنسية الباكستانية والنيبالية والبنغلادشية والفلسطينية، وإصابة 166 بإصابات تتراوح بين البسيطة والمتوسطة والبليغة من الجنسية الإماراتية، المصرية، السودانية، الإثيوبية، الفلبينية، الباكستانية، الإيرانية، الهندية، البنغلادشية، السريلانكية، الأذربيجانية، اليمنية، الأوغندية، الإرتيرية، اللبنانية، الأفغانية، البحرينية، جزر القمر، التركية، العراقية، النيبالية، النيجيرية، العمانية، الأردنية، الفلسطينية، الغانية، الأندونيسية، السويدية والتونسية.

وتؤكد وزارة الدفاع أنها على أهبة الاستعداد والجاهزية للتعامل مع أية تهديدات والتصدي بحزم لكل ما يستهدف زعزعة أمن الدولة، وبما يضمن صون سيادتها وأمنها واستقرارها ويحمي مصالحها ومقدراتها الوطنية.

#وزارة_الدفاع 
#وزارة_الدفاع_الإماراتية
#MOD
#UAEMinistryOfDefence"".",https://scontent.cdninstagram.com/v/t51.82787-15/655266061_18091869671146857_1614423203751604380_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=1&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=wc3yBbdX84IQ7kNvwGYairL&_nc_oc=Adpg-w8lkh_TiEtf3F5JjwP7aPr1CmqaW4k8It_7S16G9v2cCrUmAu0u0dGlvr-Ly37CQQFwWJghr-GkmqSr3zKz&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=-2dz3lrsw9PsC_QgDPlioA&_nc_ss=7a30f&oh=00_Afwja0_7T3gZA6iAE40pKvtbOp08iTmGMJbhxeT0SR7Frg&oe=69C9C21A,pending,DWTfiWziFMV,GraphImage,1,"[""https://scontent.cdninstagram.com/v/t51.82787-15/655266061_18091869671146857_1614423203751604380_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=1&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=wc3yBbdX84IQ7kNvwGYairL&_nc_oc=Adpg-w8lkh_TiEtf3F5JjwP7aPr1CmqaW4k8It_7S16G9v2cCrUmAu0u0dGlvr-Ly37CQQFwWJghr-GkmqSr3zKz&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=-2dz3lrsw9PsC_QgDPlioA&_nc_ss=7a30f&oh=00_Afwja0_7T3gZA6iAE40pKvtbOp08iTmGMJbhxeT0SR7Frg&oe=69C9C21A""]"
2026-03-25T00:00:00Z,https://www.instagram.com/modgovae/p/DWTgbhlCBV7/,"UAE air defences engaged 9 UAVs.

The UAE air defence systems on 25th March 2026 engaged 9 UAVs launched from Iran.

Since the onset of the blatant Iranian aggression, UAE air defences have engaged 357 ballistic missiles, 15 cruise missiles and 1,815 UAVs.

These attacks have resulted in the martyrdom of 3 members of the armed forces while performing their national duty, as well as 6 fatalities of Pakistani, Nepali, Bangladeshi and Palestinian nationalities.

A total of 166 people were also injured, with injuries ranging from minor to moderate and severe. The injured included nationals of the UAE, Egypt, Sudan, Ethiopia, the Philippines, Pakistan, Iran, India, Bangladesh, Sri Lanka, Azerbaijan, Yemen, Uganda, Eritrea, Lebanon, Afghanistan, Bahrain, Comoros, Türkiye, Iraq, Nepal, Nigeria, Oman, Jordan, Palestine, Ghana, Indonesia, Sweden and Tunisia.

The Ministry of Defence affirmed that it remains fully prepared and ready to deal with any threats, and will firmly confront any attempts to undermine State security in a manner that ensures the protection of its sovereignty, security and stability, and safeguards its national interests and capabilities.

#وزارة_الدفاع 
#وزارة_الدفاع_الإماراتية
#MOD
#UAEMinistryOfDefence"".",https://scontent.cdninstagram.com/v/t51.82787-15/656725361_18091870457146857_2955732226213835750_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=1&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=qeMnn_NTYwgQ7kNvwEWXqvT&_nc_oc=Adq7DExSbqyC7AcBGO862JN2nOlDaEzSQVFT-5sxYAhU6ZLc3LhNR4WjSLNnda-ibSbliD0EPe5gB4edIGmXSRWP&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=0rYScHygNPsE7muQC7RN9Q&_nc_ss=7a30f&oh=00_Afx00_vsn4KxMrW4p-2squHp1Qqt1mQNF1mBfg881OovoQ&oe=69C9ACEF,pending,DWTgbhlCBV7,GraphImage,1,"[""https://scontent.cdninstagram.com/v/t51.82787-15/656725361_18091870457146857_2955732226213835750_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=1&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=qeMnn_NTYwgQ7kNvwEWXqvT&_nc_oc=Adq7DExSbqyC7AcBGO862JN2nOlDaEzSQVFT-5sxYAhU6ZLc3LhNR4WjSLNnda-ibSbliD0EPe5gB4edIGmXSRWP&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=0rYScHygNPsE7muQC7RN9Q&_nc_ss=7a30f&oh=00_Afx00_vsn4KxMrW4p-2squHp1Qqt1mQNF1mBfg881OovoQ&oe=69C9ACEF""]"
2026-03-25T00:00:00Z,https://www.instagram.com/modgovae/p/DWTgtWPiLQL/,"الدفاعات الجوية الإماراتية تتعامل مع الصواريخ الباليستية والجوالة والمسيرات الإيرانية.

UAE Air Defences engaged Iranian
Ballistic and Cruise Missiles and UAVs Attacks

#وزارة_الدفاع 
#وزارة_الدفاع_الإماراتية
#MOD
#UAEMinistryOfDefence"".",https://scontent.cdninstagram.com/v/t51.82787-15/657318019_18091870826146857_308543213395429694_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=1&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=eHkZC3t6olAQ7kNvwFHACEj&_nc_oc=AdpMDmmQHKCfLg2JBOST3-MSo5iQVL9lAsJHoeI1lclixZwi8KkjMQWWxFGusKy1S0TuDmM7CPe4YREeYhtZWnLZ&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=29u0vI58QvsTgFzLoZ-sRA&_nc_ss=7a30f&oh=00_Afy13H6p_oDDbkabZ4bGjpT8TAyWFwVaROilBZy-DVb9hg&oe=69C9A5FE,pending,DWTgtWPiLQL,GraphImage,1,"[""https://scontent.cdninstagram.com/v/t51.82787-15/657318019_18091870826146857_308543213395429694_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=1&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=eHkZC3t6olAQ7kNvwFHACEj&_nc_oc=AdpMDmmQHKCfLg2JBOST3-MSo5iQVL9lAsJHoeI1lclixZwi8KkjMQWWxFGusKy1S0TuDmM7CPe4YREeYhtZWnLZ&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=29u0vI58QvsTgFzLoZ-sRA&_nc_ss=7a30f&oh=00_Afy13H6p_oDDbkabZ4bGjpT8TAyWFwVaROilBZy-DVb9hg&oe=69C9A5FE""]"
