post_date,url,captions,image_url,status,shortcode,post_type,media_count,media_urls
2026-04-01T00:00:00Z,https://www.instagram.com/modgovae/p/DWllVatiAYg/,"UAE air defences engaged 5 Ballistic missiles and 35 UAV’s.

The UAE air defences on (1st April 2026) engaged 5 Ballistic missiles and 35 UAV’s launched from Iran.

Since the start of the blatant Iranian attacks, UAE air defences have engaged 438 ballistic missiles, 19 cruise missiles and 2,012 UAVs.

The attacks resulted in the martyrdom of 2 members of the armed forces while performing their national duty, in addition to the martyrdom of a Moroccan civilian contracted by the Armed Forces, as well as 9 fatalities of Pakistani, Nepali, Bangladeshi, Palestinian and Indian nationalities.

A total of 190 people were also injured, with injuries ranging from minor to moderate and severe. The injured included nationals of the UAE, Egypt, Sudan, Ethiopia, the Philippines, Pakistan, Iran, India, Bangladesh, Sri Lanka, Azerbaijan, Yemen, Uganda, Eritrea, Lebanon, Afghanistan, Bahrain, Comoros, Türkiye, Iraq, Nepal, Nigeria, Oman, Jordan, Palestine, Ghana, Indonesia, Sweden and Tunisia.

The Ministry of Defence affirmed that it remains fully prepared and ready to deal with any threats and will firmly confront anything that aims to undermine the security of the country, in a manner that ensures the protection of its sovereignty, security and stability and safeguards its interests and national capabilities.

#وزارة_الدفاع 
#وزارة_الدفاع_الإماراتية
#MOD
#UAEMinistryOfDefence"".",https://scontent.cdninstagram.com/v/t51.82787-15/658880903_18092617109146857_9164020400054162559_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=111&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=GlIB1zn2e5gQ7kNvwGs0mcC&_nc_oc=AdpUHhuRFLWsXHSybp7pfJxLecqs6yARAjlpQjXkHYhnZFKjbTR0zL7JJeJ3zWcDFzA0S-oCLAuTIWwsOkTOuz4W&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=EwJHSqAg12mpjVUbOLX0eg&_nc_ss=7a389&oh=00_Af10wgheUWxo3nikR2Ee9zZPWISFMVSfAh1I9X2of1h2uA&oe=69D47BB9,pending,DWllVatiAYg,GraphImage,1,"[""https://scontent.cdninstagram.com/v/t51.82787-15/658880903_18092617109146857_9164020400054162559_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=111&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=GlIB1zn2e5gQ7kNvwGs0mcC&_nc_oc=AdpUHhuRFLWsXHSybp7pfJxLecqs6yARAjlpQjXkHYhnZFKjbTR0zL7JJeJ3zWcDFzA0S-oCLAuTIWwsOkTOuz4W&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=EwJHSqAg12mpjVUbOLX0eg&_nc_ss=7a389&oh=00_Af10wgheUWxo3nikR2Ee9zZPWISFMVSfAh1I9X2of1h2uA&oe=69D47BB9""]"
2026-04-02T00:00:00Z,https://www.instagram.com/modgovae/p/DWoKPYniCqi/,"UAE air defences engaged 19 Ballistic missiles and 26 UAV’s.

The UAE air defences on (2nd April 2026) engaged 19 Ballistic missiles and 26 UAV’s launched from Iran.

Since the start of the blatant Iranian attacks, UAE air defences have engaged 457 ballistic missiles, 19 cruise missiles and 2,038 UAVs.

The attacks resulted in the martyrdom of 2 members of the armed forces while performing their national duty, in addition to the martyrdom of a Moroccan civilian contracted by the Armed Forces, as well as 9 fatalities of Pakistani, Nepali, Bangladeshi, Palestinian and Indian nationalities.

A total of 191 people were also injured, with injuries ranging from minor to moderate and severe. The injured included nationals of the UAE, Egypt, Sudan, Ethiopia, the Philippines, Pakistan, Iran, India, Bangladesh, Sri Lanka, Azerbaijan, Yemen, Uganda, Eritrea, Lebanon, Afghanistan, Bahrain, Comoros, Türkiye, Iraq, Nepal, Nigeria, Oman, Jordan, Palestine, Ghana, Indonesia, Sweden and Tunisia.

The Ministry of Defence affirmed that it remains fully prepared and ready to deal with any threats and will firmly confront anything that aims to undermine the security of the country, in a manner that ensures the protection of its sovereignty, security and stability and safeguards its interests and national capabilities.

#وزارة_الدفاع 
#وزارة_الدفاع_الإماراتية
#MOD
#UAEMinistryOfDefence"".",https://scontent.cdninstagram.com/v/t51.82787-15/657812806_18092720024146857_5885823722877312649_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=lM9sRhII_7YQ7kNvwFIQ7GZ&_nc_oc=AdpXlDw6CsHNdq08evQlF3o-XtXdZ39V5cTSiaS16wEeRbSkisNPoq2bwK6d_XTrvd-N9OQy74xfiO65C3S-fwtf&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=0bfBilI67fTRY5VnPP0W-Q&_nc_ss=7a389&oh=00_Af1xLlbMVDhDBDykSXPrmTT734bon_imR-_slqH2Ddpdrg&oe=69D48A6B,pending,DWoKPYniCqi,GraphImage,1,"[""https://scontent.cdninstagram.com/v/t51.82787-15/657812806_18092720024146857_5885823722877312649_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=lM9sRhII_7YQ7kNvwFIQ7GZ&_nc_oc=AdpXlDw6CsHNdq08evQlF3o-XtXdZ39V5cTSiaS16wEeRbSkisNPoq2bwK6d_XTrvd-N9OQy74xfiO65C3S-fwtf&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=0bfBilI67fTRY5VnPP0W-Q&_nc_ss=7a389&oh=00_Af1xLlbMVDhDBDykSXPrmTT734bon_imR-_slqH2Ddpdrg&oe=69D48A6B""]"
