post_date,url,captions,image_url,status,shortcode,post_type,media_count,media_urls
2026-03-26T00:00:00Z,https://www.instagram.com/modgovae/p/DWWVMGjiBy5/,"الدفاعات الجوية الإماراتية تتعامل مع الصواريخ الباليستية والجوالة والمسيرات الإيرانية.

UAE Air Defences engaged Iranian
Ballistic and Cruise Missiles and UAVs Attacks

#وزارة_الدفاع 
#وزارة_الدفاع_الإماراتية
#MOD
#UAEMinistryOfDefence"".",https://scontent-sjc3-1.cdninstagram.com/v/t51.82787-15/655832810_18091988255146857_4021054321729064756_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=105&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=WY8LO877XUYQ7kNvwE03TAb&_nc_oc=AdreoqGf_bCw9Cki6q_NOUhUtVSe7xqyQBC5GVIQibYqNXppVbMEElJmvY6jvVqSaoQ&_nc_zt=23&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_gid=r-c0qrSjgqDdIw6yDaowTQ&_nc_ss=7a30f&oh=00_Afxujdr4EbW8LHlYHQ9iOR6hQxUJEowbNos41VxQV9T7EQ&oe=69CBE05B,pending,DWWVMGjiBy5,GraphImage,1,"[""https://scontent-sjc3-1.cdninstagram.com/v/t51.82787-15/655832810_18091988255146857_4021054321729064756_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=105&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=WY8LO877XUYQ7kNvwE03TAb&_nc_oc=AdreoqGf_bCw9Cki6q_NOUhUtVSe7xqyQBC5GVIQibYqNXppVbMEElJmvY6jvVqSaoQ&_nc_zt=23&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_gid=r-c0qrSjgqDdIw6yDaowTQ&_nc_ss=7a30f&oh=00_Afxujdr4EbW8LHlYHQ9iOR6hQxUJEowbNos41VxQV9T7EQ&oe=69CBE05B""]"
2026-03-26T00:00:00Z,https://www.instagram.com/modgovae/p/DWWU0yUiHl9/,"UAE air defences engaged 15 ballistic missiles and 11 UAVs 

The UAE air defences systems on 26th March 2026 engaged 15 ballistic missiles and 11 UAVs launched from Iran.

Since the start of the blatant Iranian attacks, UAE air defences have engaged 372 ballistic missiles, 15 cruise missiles and 1,826 UAVs.

The attacks resulted in the martyrdom of 2 members of the armed forces while performing their national duty, in addition to the martyrdom of a Moroccan civilian contracted by the Armed Forces, as well as 8 fatalities of Pakistani, Nepali, Bangladeshi, Palestinian and Indian nationalities.

A total of 169 people were also injured, with injuries ranging from minor to moderate and severe. The injured included nationals of the UAE, Egypt, Sudan, Ethiopia, the Philippines, Pakistan, Iran, India, Bangladesh, Sri Lanka, Azerbaijan, Yemen, Uganda, Eritrea, Lebanon, Afghanistan, Bahrain, Comoros, Türkiye, Iraq, Nepal, Nigeria, Oman, Jordan, Palestine, Ghana, Indonesia, Sweden and Tunisia.

The Ministry of Defence affirmed that it remains fully prepared and ready to deal with any threats and will firmly confront anything that aims to undermine the security of the country, in a manner that ensures the protection of its sovereignty, security and stability and safeguards its interests and national capabilities.

#وزارة_الدفاع 
#وزارة_الدفاع_الإماراتية
#MOD
#UAEMinistryOfDefence"".",https://scontent-sjc6-1.cdninstagram.com/v/t51.82787-15/655784682_18091987991146857_1412977264819337944_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=rkeiRGDZMqIQ7kNvwFAV9C-&_nc_oc=AdpOW4MheVmMBPlQtfberME6EQ7JCiXj6LrndwpKX0Lm_LMV7ARZoqsh08CxvH50u9I&_nc_zt=23&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_gid=QSioXx4zLIcCPZYG5UfQSQ&_nc_ss=7a389&oh=00_AfxXnLXbMHnphLOUiDojuiolLOGt5Fzn2ahYKu99hnMMEg&oe=69CBE5C9,pending,DWWU0yUiHl9,GraphImage,1,"[""https://scontent-sjc6-1.cdninstagram.com/v/t51.82787-15/655784682_18091987991146857_1412977264819337944_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=rkeiRGDZMqIQ7kNvwFAV9C-&_nc_oc=AdpOW4MheVmMBPlQtfberME6EQ7JCiXj6LrndwpKX0Lm_LMV7ARZoqsh08CxvH50u9I&_nc_zt=23&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_gid=QSioXx4zLIcCPZYG5UfQSQ&_nc_ss=7a389&oh=00_AfxXnLXbMHnphLOUiDojuiolLOGt5Fzn2ahYKu99hnMMEg&oe=69CBE5C9""]"
2026-03-26T00:00:00Z,https://www.instagram.com/modgovae/p/DWWQv40iAvd/,"تعاملت الدفاعات الجوية الإماراتية مع 15 صاروخ باليستي و 11 طائرة مسيرة.

تعاملت الدفاعات الجوية الإماراتية (26 مارس 2026) مع 15 صاروخ باليستي و 11 طائرة مسيرة قادمة من إيران. 

ومنذ بدء الاعتداءات الإيرانية السافرة تعاملت الدفاعات الجوية الإماراتية مع 372 صاروخاً باليستياً، و 15 صاروخ جوال، و 1826 طائرة مسيرة.

وأدت هذه الاعتداءات إلى استشهاد 2 من منتسبي القوات المسلحة خلال تأديتهما واجبهما الوطني، بالاضافة إلى استشهاد مدني من الجنسية المغربية متعاقد مع القوات المسلحة، ومقتل 8 مدنيين من الجنسية الباكستانية والنيبالية والبنغلادشية والفلسطينية والهندية، وإصابة 169 بإصابات تتراوح بين البسيطة والمتوسطة والبليغة من الجنسية الإماراتية، المصرية، السودانية، الإثيوبية، الفلبينية، الباكستانية، الإيرانية، الهندية، البنغلادشية، السريلانكية، الأذربيجانية، اليمنية، الأوغندية، الإرتيرية، اللبنانية، الأفغانية، البحرينية، جزر القمر، التركية، العراقية، النيبالية، النيجيرية، العمانية، الأردنية، الفلسطينية، الغانية، الأندونيسية، السويدية والتونسية.

وتؤكد وزارة الدفاع أنها على أهبة الاستعداد والجاهزية للتعامل مع أية تهديدات والتصدي بحزم لكل ما يستهدف زعزعة أمن الدولة، وبما يضمن صون سيادتها وأمنها واستقرارها ويحمي مصالحها ومقدراتها الوطنية.

#وزارة_الدفاع 
#وزارة_الدفاع_الإماراتية
#MOD
#UAEMinistryOfDefence"".",https://scontent-sjc6-1.cdninstagram.com/v/t51.82787-15/657714447_18091985000146857_8330431724996180252_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=nZPS4ENRgxEQ7kNvwEmOewm&_nc_oc=AdrlVXuE31gHaAbcAOV7ii2yz6XUESQTg1GSRbnUA-uIXWLrLr4nMLi6rVn7D9I_D6U&_nc_zt=23&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_gid=q7wicN5Nw2xCyJr_4bYZcA&_nc_ss=7a30f&oh=00_Afw0RiG1m-yKAZHSrzQTX4XW8IRoVosvRCHdqfLou0E5QQ&oe=69CBF475,pending,DWWQv40iAvd,GraphImage,1,"[""https://scontent-sjc6-1.cdninstagram.com/v/t51.82787-15/657714447_18091985000146857_8330431724996180252_n.jpg?stp=c288.0.864.864a_dst-jpg_e35_s640x640_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=nZPS4ENRgxEQ7kNvwEmOewm&_nc_oc=AdrlVXuE31gHaAbcAOV7ii2yz6XUESQTg1GSRbnUA-uIXWLrLr4nMLi6rVn7D9I_D6U&_nc_zt=23&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_gid=q7wicN5Nw2xCyJr_4bYZcA&_nc_ss=7a30f&oh=00_Afw0RiG1m-yKAZHSrzQTX4XW8IRoVosvRCHdqfLou0E5QQ&oe=69CBF475""]"
2026-03-26T00:00:00Z,https://www.instagram.com/modgovae/p/DWVkyltiFHP/,"تتعامل حالياً الدفاعات الجوية الإماراتية مع اعتداءات صاروخية وطائرات مسيرة قادمة من إيران وتؤكد وزارة الدفاع أن الأصوات المسموعة في مناطق متفرقة من الدولة هي نتيجة اعتراض كل من منظومات الدفاع الجوي للصواريخ البالستية، والمقاتلات للطائرات المسيرة والجوالة.

UAE air defences are currently responding to incoming missile and drone threats from Iran

MOD asserts that the sounds heard are the result of the Air Defence Systems intercepting missiles and drones

#وزارة_الدفاع 
#وزارة_الدفاع_الإماراتية
#MOD
#UAEMinistryOfDefence"".",https://scontent-sjc3-1.cdninstagram.com/v/t51.82787-15/655265498_18091957370146857_7546506846972174433_n.jpg?stp=c211.0.633.633a_dst-jpg_e35_s640x640_tt6&_nc_cat=105&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=C3KrkSArgdYQ7kNvwGLmsfK&_nc_oc=AdqrVRAVUpXYwLM52PUTQtsV0r_JUqkanQvYMbGmGl1i03_dqlyjbcnkq-foLGLKnFs&_nc_zt=23&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_gid=xceUTZC-ubtN7uGpasx5ZA&_nc_ss=7a30f&oh=00_AfxuVF1MzkrDqmw-F0rVLUERs_ciaF5W6APtm3ITSpGy0g&oe=69CBE588,pending,DWVkyltiFHP,GraphImage,1,"[""https://scontent-sjc3-1.cdninstagram.com/v/t51.82787-15/655265498_18091957370146857_7546506846972174433_n.jpg?stp=c211.0.633.633a_dst-jpg_e35_s640x640_tt6&_nc_cat=105&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=C3KrkSArgdYQ7kNvwGLmsfK&_nc_oc=AdqrVRAVUpXYwLM52PUTQtsV0r_JUqkanQvYMbGmGl1i03_dqlyjbcnkq-foLGLKnFs&_nc_zt=23&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_gid=xceUTZC-ubtN7uGpasx5ZA&_nc_ss=7a30f&oh=00_AfxuVF1MzkrDqmw-F0rVLUERs_ciaF5W6APtm3ITSpGy0g&oe=69CBE588""]"
2026-03-26T00:00:00Z,https://www.instagram.com/modgovae/p/DWVXI2XiAQ6/,"تتعامل حالياً الدفاعات الجوية الإماراتية مع اعتداءات صاروخية وطائرات مسيرة قادمة من إيران وتؤكد وزارة الدفاع أن الأصوات المسموعة في مناطق متفرقة من الدولة هي نتيجة اعتراض كل من منظومات الدفاع الجوي للصواريخ البالستية، والمقاتلات للطائرات المسيرة والجوالة.

UAE air defences are currently responding to incoming missile and drone threats from Iran

MOD asserts that the sounds heard are the result of the Air Defence Systems intercepting missiles and drones

#وزارة_الدفاع 
#وزارة_الدفاع_الإماراتية
#MOD
#UAEMinistryOfDefence"".",https://scontent-sjc6-1.cdninstagram.com/v/t51.82787-15/658914594_18091948577146857_84178348526487237_n.jpg?stp=c211.0.633.633a_dst-jpg_e35_s640x640_tt6&_nc_cat=108&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=csNrdzSqGG4Q7kNvwEvtuE7&_nc_oc=AdoavyOXahtGhfeojLmaxWf9eO55lHL41-JggQr4F4GXe5vhPZ5l0HLBunVYnwNkjJg&_nc_zt=23&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_gid=rq7VmdA7o3LkYU-12Zw2zA&_nc_ss=7a30f&oh=00_Afy1pwXp2Ui54v0CNssRqtku7Euk9RPuHtWnYRK6neQ_rQ&oe=69CBFF71,pending,DWVXI2XiAQ6,GraphImage,1,"[""https://scontent-sjc6-1.cdninstagram.com/v/t51.82787-15/658914594_18091948577146857_84178348526487237_n.jpg?stp=c211.0.633.633a_dst-jpg_e35_s640x640_tt6&_nc_cat=108&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=csNrdzSqGG4Q7kNvwEvtuE7&_nc_oc=AdoavyOXahtGhfeojLmaxWf9eO55lHL41-JggQr4F4GXe5vhPZ5l0HLBunVYnwNkjJg&_nc_zt=23&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_gid=rq7VmdA7o3LkYU-12Zw2zA&_nc_ss=7a30f&oh=00_Afy1pwXp2Ui54v0CNssRqtku7Euk9RPuHtWnYRK6neQ_rQ&oe=69CBFF71""]"
